name,id,review_score,review_count
Cyberpunk 2077,1091500,77,423516
DayZ,221100,72,263793
New World,1063730,67,199699
No Man's Sky,275850,74,190203
Battlefield™ 2042,1517290,30,113600
NARAKA: BLADEPOINT,1203220,79,110761
Battlefield V,1238810,70,100851
Grand Theft Auto IV: The Complete Edition,12210,77,94058
Dying Light 2 Stay Human,534380,78,81327
Elite Dangerous,359320,76,64208
SCUM,513710,75,62978
Tom Clancy's Ghost Recon® Wildlands,460930,79,57850
Conan Exiles,440900,78,56868
Microsoft Flight Simulator Game of the Year Edition,1250410,77,38542
Total War: WARHAMMER III,1142710,67,38250
Fallout 76: The Pitt,1151340,76,38133
Resident Evil 3,952060,78,38128
Stranded Deep,313120,75,34004
UNO,470220,73,32125
Back 4 Blood,924970,65,29939
Total War: WARHAMMER,364360,78,29790
Fallout 3: Game of the Year Edition,22370,78,29329
Deadside,895400,79,22907
Nioh: Complete Edition,485510,79,22572
ICARUS,1149460,65,21308
